,Unnamed: 0,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra,wrong_name,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
17,17,1 Del,10.8959166667,1del,tg160054.fits,+10:53:45.30,20:30:17.960,3,1 Del,307.574833333,,6.032,10.89592314,307.57483601,6.022,,5.976,5.954,,,6.054,,HD 195325,,1 Del,,,
18,20,10 Cas,64.2048611111,10cas,mj180022.fits,64:12:17.5,0:06:53.8,8,10 Cas,1.72416666667,,5.541,64.1961689,1.61058678,5.470,,5.463,5.468,,5.37,5.567,,HD 144,,10 Cas,,,
19,21,10 Cas,64.1961666667,10cas,ti040049.fits,+64:11:46.20,00:06:26.540,8,10 Cas,1.61058333333,,5.541,64.1961689,1.61058678,5.470,,5.463,5.468,,5.37,5.567,,HD 144,,10 Cas,,,
20,22,105 Tau,21.7048055556,105tau,tj300033.fits,+21:42:17.30,05:07:55.440,9,105 Tau,76.981,,6.08,21.70482363,76.9809852,4.961,,5.197,4.775,,5.51,5.92,,HD 32991,,105 Tau,,,
21,23,11 Cam,58.9628333333,11cam,la040034.fits,58:57:46.2,5:06:33.1,8,11 Cam,76.6379166667,,5.00,58.97237189,76.53521493,5.021,,5.424,4.906,,4.31,5.03,,HD 32343,,11 Cam,,,
22,24,11 Cam,59.0216111111,11cam,lb160035.fits,59:01:17.8,5:06:44.0,8,11 Cam,76.6833333333,,5.00,58.97237189,76.53521493,5.021,,5.424,4.906,,4.31,5.03,,HD 32343,,11 Cam,,,
23,25,11 Cam,58.9723611111,11cam,tj250004.fits,+58:58:20.50,05:06:08.447,8,11 Cam,76.5351958333,,5.00,58.97237189,76.53521493,5.021,,5.424,4.906,,4.31,5.03,,HD 32343,,11 Cam,,,
24,26,11 Cyg,36.9445277778,11cyg,ti050007.fits,+36:56:40.30,19:35:48.300,3,11 Cyg,293.95125,,5.949,36.94454052,293.95126733,6.163,,6.072,6.143,,5.42,6.028,,HD 185037,,11 Cyg,,,
25,27,11 Cyg,36.9445277778,11cyg,ui240027.fits,+36:56:40.30,19:35:48.300,3,11 Cyg,293.95125,,5.949,36.94454052,293.95126733,6.163,,6.072,6.143,,5.42,6.028,,HD 185037,,11 Cyg,,,
26,28,11 UMi,71.8238888889,11umi,sd180016.fits,+71:49:26.00,15:17:05.900,0,11 UMi,229.274583333,,6.415,71.82390183,229.27453745,2.091,,2.876,1.939,,,5.024,,HD 136726,,11 UMi,,,
27,29,116 Tau,15.86375,116tau,qi160037.fits,15:51:49.5,5:27:49.1,5,116 Tau,81.9545833333,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
28,30,116 Tau,15.8677222222,116tau,rb250031.fits,15:52:03.80,05:27:41.960,5,116 Tau,81.9248333333,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
29,31,116 Tau,15.8740277778,116tau,sh240037.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
30,32,116 Tau,15.8740277778,116tau,sh300036.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
31,33,116 Tau,15.8740277778,116tau,sj020028.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
32,34,116 Tau,15.8740277778,116tau,ub240012.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
33,35,116 Tau,15.8740277778,116tau,uj220033.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
34,36,116 Tau,15.8740277778,116tau,va260020.fits,+15:52:26.50,05:27:45.607,5,116 Tau,81.9400291667,,5.525,15.8740504,81.94003683,5.378,,5.322,5.328,,,5.512,,HD 35770,,116 Tau,,,
35,37,12 Aur,46.4160555556,12aur,ue110027.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
36,38,12 Aur,46.4160555556,12aur,uj160054.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
37,39,12 Aur,46.4160555556,12aur,uk280026.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
38,40,12 Aur,46.4160555556,12aur,ul090039.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
39,41,12 Aur,46.4160555556,12aur,ul110013.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
40,42,12 Aur,46.4160555556,12aur,ul140009.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
41,43,12 Aur,46.4160555556,12aur,va290017.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
42,44,12 Aur,46.4160555556,12aur,vc050037.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
43,45,12 Aur,46.4160555556,12aur,vc090061.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
44,46,12 Aur,46.4160555556,12aur,vc150049.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
45,47,12 Aur,46.4160555556,12aur,vd120016.fits,+46:24:57.80,05:16:27.080,8,12 Aur,79.1128333333,,7.06,46.41606417,79.11284708,6.120,,6.206,5.915,,6.39,6.95,,HD 33988,,12 Aur,,,
46,48,12 Vul,22.6100277778,12vul,tg050012.fits,+22:36:36.10,19:51:04.107,9,12 Vul,297.7671125,,4.750,22.61004811,297.76711756,5.051,,5.388,4.947,,4.13,4.893,,HD 187811,,12 Vul,,,
47,49,120 Tau,18.5402222222,120tau,tj250023.fits,+18:32:24.80,05:33:31.627,9,120 Tau,83.3817791667,,5.642,18.54023076,83.38179818,5.065,,5.160,4.777,,4.94,5.667,,HD 36576,,120 Tau,,,
48,50,13 Tau,19.7113611111,13tau,mi170053.fits,19:42:40.9,3:42:09.1,8,13 Tau,55.5379166667,,5.664,19.70025573,55.57894623,5.649,,5.635,5.641,,5.22,5.681,,HD 23016,,13 Tau,,,
49,51,13 Tau,19.7113055556,13tau,mi170054.fits,19:42:40.7,3:42:09.1,8,13 Tau,55.5379166667,,5.664,19.70025573,55.57894623,5.649,,5.635,5.641,,5.22,5.681,,HD 23016,,13 Tau,,,
50,52,13 Tau,19.7352222222,13tau,na220019.fits,19:44:06.8,3:42:06.8,8,13 Tau,55.5283333333,,5.664,19.70025573,55.57894623,5.649,,5.635,5.641,,5.22,5.681,,HD 23016,,13 Tau,,,
51,53,13 Tau,19.70025,13tau,ti040069.fits,+19:42:00.90,03:42:18.947,8,13 Tau,55.5789458333,,5.664,19.70025573,55.57894623,5.649,,5.635,5.641,,5.22,5.681,,HD 23016,,13 Tau,,,
52,55,14 Lac,41.9533888889,v360lac,tg140036.fits,+41:57:12.20,22:50:21.767,8,14 Lac,342.590695833,,5.981,41.95339391,342.59072768,5.428,,5.479,5.321,,5.49,5.928,,HD 216200,,14 Lac,,,
53,56,14 Lac,41.9533888889,v360lac,tg140039.fits,+41:57:12.20,22:50:21.767,8,14 Lac,342.590695833,,5.981,41.95339391,342.59072768,5.428,,5.479,5.321,,5.49,5.928,,HD 216200,,14 Lac,,,
54,57,14 Lac,41.9533888889,v360lac,ue110069.fits,+41:57:12.20,22:50:21.780,8,14 Lac,342.59075,,5.981,41.95339391,342.59072768,5.428,,5.479,5.321,,5.49,5.928,,HD 216200,,14 Lac,,,
55,58,14 Lac,41.9533888889,v360lac,ug060050.fits,+41:57:12.20,22:50:21.780,8,14 Lac,342.59075,,5.981,41.95339391,342.59072768,5.428,,5.479,5.321,,5.49,5.928,,HD 216200,,14 Lac,,,
56,59,15 Mon,9.78016666667,15mon,md140016.fits,9:46:48.6,6:45:30.0,0,15 Mon,101.375,,4.400,9.89575637,100.24441512,5.322,4.88,5.202,5.340,,3.360,4.640,,HD 47839,,15 Mon,,,
57,60,17 Lep,-16.4844166667,17lep,uc280007.fits,-16:29:03.90,06:04:59.127,9,17 Lep,91.2463625,,5.148,-16.48443612,91.2463712,2.105,,2.904,1.671,,,4.974,,HD 41511,,17 Lep,,,
58,61,17 Sex,-8.40816666667,17sex,ua280060.fits,-08:24:29.40,10:10:07.540,0,17 Sex,152.531416667,,5.916,-8.40816541,152.53141493,5.745,,5.723,5.696,,,5.900,,HD 88195,,17 Sex,,,
59,62,17 Tau,24.1188055556,17tau,la050026.fits,24:07:07.7,3:44:48.0,8,17 Tau,56.2,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
60,63,17 Tau,24.1332222222,17tau,mh250036.fits,24:07:59.6,3:44:56.6,8,17 Tau,56.2358333333,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
61,64,17 Tau,24.1300555556,17tau,mi150064.fits,24:07:48.2,3:44:49.8,8,17 Tau,56.2075,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
62,65,17 Tau,24.1300833333,17tau,mi150065.fits,24:07:48.3,3:44:49.8,8,17 Tau,56.2075,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
63,66,17 Tau,24.1194166667,17tau,mi170055.fits,24:07:09.9,3:44:44.8,8,17 Tau,56.1866666667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
64,67,17 Tau,24.11925,17tau,mi170056.fits,24:07:09.3,3:44:44.7,8,17 Tau,56.18625,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
65,68,17 Tau,24.1235833333,17tau,mk130021.fits,24:07:24.9,3:44:48.1,8,17 Tau,56.2004166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
66,69,17 Tau,24.1235833333,17tau,mk130022.fits,24:07:24.9,3:44:48.0,8,17 Tau,56.2,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
67,70,17 Tau,24.1306944444,17tau,ml090036.fits,24:07:50.5,3:44:55.5,8,17 Tau,56.23125,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
68,71,17 Tau,24.1416388889,17tau,na220020.fits,24:08:29.9,3:44:42.7,8,17 Tau,56.1779166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
69,72,17 Tau,24.1205,17tau,na240024.fits,24:07:13.8,3:45:09.9,8,17 Tau,56.29125,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
70,73,17 Tau,24.1108611111,17tau,nb120022.fits,24:06:39.1,3:45:12.3,8,17 Tau,56.30125,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
71,74,17 Tau,24.1066111111,17tau,nb240017.fits,24:06:23.8,3:45:15.7,8,17 Tau,56.3154166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
72,75,17 Tau,24.1207222222,17tau,nk240027.fits,24:07:14.6,3:44:47.4,8,17 Tau,56.1975,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
73,76,17 Tau,24.1198611111,17tau,nk240028.fits,24:07:11.5,3:44:47.7,8,17 Tau,56.19875,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
74,77,17 Tau,24.1155277778,17tau,nk250020.fits,24:06:55.9,3:44:50.2,8,17 Tau,56.2091666667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
75,78,17 Tau,24.1186666667,17tau,ok240021.fits,24:07:07.2,3:44:51.8,8,17 Tau,56.2158333333,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
76,79,17 Tau,24.1205833333,17tau,pa090027.fits,24:07:14.1,3:44:43.8,8,17 Tau,56.1825,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
77,80,17 Tau,24.1393611111,17tau,pa090040.fits,24:08:21.7,3:44:50.2,8,17 Tau,56.2091666667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
78,81,17 Tau,24.1256388889,17tau,pa150032.fits,24:07:32.3,3:44:52.1,8,17 Tau,56.2170833333,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
79,82,17 Tau,24.1393888889,17tau,pa260014.fits,24:08:21.8,3:45:11.0,8,17 Tau,56.2958333333,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
80,83,17 Tau,24.1183333333,17tau,pb240023.fits,24:07:06.0,3:45:20.0,8,17 Tau,56.3333333333,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
81,84,17 Tau,24.1182777778,17tau,pb240025.fits,24:07:05.8,3:45:20.8,8,17 Tau,56.3366666667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
82,85,17 Tau,24.1151666667,17tau,pb270013.fits,24:06:54.6,3:45:21.3,8,17 Tau,56.33875,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
83,86,17 Tau,24.1225,17tau,pb270018.fits,24:07:21.0,3:45:24.1,8,17 Tau,56.3504166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
84,87,17 Tau,24.1263333333,17tau,pc200009.fits,24:07:34.8,3:45:10.9,8,17 Tau,56.2954166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
85,88,17 Tau,24.1318611111,17tau,pc240017.fits,24:07:54.7,3:45:14.4,8,17 Tau,56.31,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
86,89,17 Tau,24.1560555556,17tau,pd230012.fits,24:09:21.8,3:44:43.5,8,17 Tau,56.18125,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
87,90,17 Tau,24.1074444444,17tau,pl140025.fits,24:06:26.8,3:44:48.6,8,17 Tau,56.2025,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
88,91,17 Tau,24.1614444444,17tau,qc280014.fits,24:09:41.2,3:45:15.4,8,17 Tau,56.3141666667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
89,92,17 Tau,24.1631944444,17tau,qc280015.fits,24:09:47.5,3:45:16.2,8,17 Tau,56.3175,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
90,93,17 Tau,24.1186388889,17tau,rc110012.fits,24:07:07.10,03:44:51.473,8,17 Tau,56.2144708333,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
91,94,17 Tau,24.1133333333,17tau,ri270043.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
92,95,17 Tau,24.1133333333,17tau,rj230026.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
93,96,17 Tau,24.1133333333,17tau,rj230028.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
94,97,17 Tau,24.1133333333,17tau,sa080023.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
95,98,17 Tau,24.1133333333,17tau,sa290007.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
96,99,17 Tau,24.1133333333,17tau,sh200045.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
97,100,17 Tau,24.1133333333,17tau,sh270032.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
98,101,17 Tau,24.1133333333,17tau,sh270034.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
99,102,17 Tau,24.1133333333,17tau,si220023.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
100,103,17 Tau,24.1133333333,17tau,tc180012.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
101,104,17 Tau,24.1133333333,17tau,tc240012.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
102,105,17 Tau,24.1133333333,17tau,ti040071.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
103,106,17 Tau,24.1133333333,17tau,ti050076.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
104,107,17 Tau,24.1133333333,17tau,tj210026.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
105,108,17 Tau,24.1133333333,17tau,ui280045.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
106,109,17 Tau,24.1133333333,17tau,uk110032.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,,3.612,24.11333645,56.21890368,4.086,3.78,4.078,3.922,,3.19,3.705,,HD 23302,,17 Tau,,,
107,110,18 And,50.4717222222,18and,uh050016.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
108,111,18 And,50.4717222222,18and,uh180003.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
109,112,18 And,50.4717222222,18and,uh230030.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
110,113,18 And,50.4717222222,18and,uh300056.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
111,114,18 And,50.4717222222,18and,ui040019.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,,5.24,50.47173272,354.78471705,5.410,,5.369,5.402,,,5.35,,HD 222304,,18 And,,,
112,115,19 Cep,62.2798055556,19cep,vb080024.fits,+62:16:47.30,22:05:08.787,0,19 Cep,331.2866125,,5.19,62.27981393,331.2866248,,,,,,4.35,5.11,,HD 209975,,19 Cep,,,
113,118,2 Tau,9.71575,2tau,tl300002.fits,+09:42:56.70,03:27:02.460,5,2 Tau,51.76025,,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,2 Tau,,,
114,119,2 Tau,9.73266666667,2tau,ub060036.fits,+09:43:57.60,03:27:10.147,5,2 Tau,51.7922791667,,3.663,9.73267621,51.79229464,3.738,,3.622,3.779,,,3.727,,HD 21364,,2 Tau,,,
115,120,20 Vul,26.4788055556,20vul,tg050015.fits,+26:28:43.70,20:12:00.700,9,20 Vul,303.002916667,,5.797,26.47880657,303.00292203,6.054,,5.967,5.998,,5.38,5.903,,HD 192044,,20 Vul,,,
116,121,21 LMi,35.2158333333,21lmi,oc240026.fits,35:12:57.0,10:07:45.1,5,21 LMi,151.937916667,,4.666,35.24469347,151.85734566,4.046,,4.269,4.004,,,4.488,,HD 87696,,21 LMi,,,
117,122,21 LMi,35.2156666667,21lmi,oc240027.fits,35:12:56.4,10:07:45.4,5,21 LMi,151.939166667,,4.666,35.24469347,151.85734566,4.046,,4.269,4.004,,,4.488,,HD 87696,,21 LMi,,,
118,123,21 LMi,35.1720555556,21lmi,pc190032.fits,35:10:19.4,10:07:38.9,5,21 LMi,151.912083333,,4.666,35.24469347,151.85734566,4.046,,4.269,4.004,,,4.488,,HD 87696,,21 LMi,,,
