,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra,wrong_name
62,17 Tau,24.1188055556,17tau,la050026.fits,24:07:07.7,3:44:48.0,8,17 Tau,56.2,
63,17 Tau,24.1332222222,17tau,mh250036.fits,24:07:59.6,3:44:56.6,8,17 Tau,56.2358333333,
64,17 Tau,24.1300555556,17tau,mi150064.fits,24:07:48.2,3:44:49.8,8,17 Tau,56.2075,
65,17 Tau,24.1300833333,17tau,mi150065.fits,24:07:48.3,3:44:49.8,8,17 Tau,56.2075,
66,17 Tau,24.1194166667,17tau,mi170055.fits,24:07:09.9,3:44:44.8,8,17 Tau,56.1866666667,
67,17 Tau,24.11925,17tau,mi170056.fits,24:07:09.3,3:44:44.7,8,17 Tau,56.18625,
68,17 Tau,24.1235833333,17tau,mk130021.fits,24:07:24.9,3:44:48.1,8,17 Tau,56.2004166667,
69,17 Tau,24.1235833333,17tau,mk130022.fits,24:07:24.9,3:44:48.0,8,17 Tau,56.2,
70,17 Tau,24.1306944444,17tau,ml090036.fits,24:07:50.5,3:44:55.5,8,17 Tau,56.23125,
71,17 Tau,24.1416388889,17tau,na220020.fits,24:08:29.9,3:44:42.7,8,17 Tau,56.1779166667,
72,17 Tau,24.1205,17tau,na240024.fits,24:07:13.8,3:45:09.9,8,17 Tau,56.29125,
73,17 Tau,24.1108611111,17tau,nb120022.fits,24:06:39.1,3:45:12.3,8,17 Tau,56.30125,
74,17 Tau,24.1066111111,17tau,nb240017.fits,24:06:23.8,3:45:15.7,8,17 Tau,56.3154166667,
75,17 Tau,24.1207222222,17tau,nk240027.fits,24:07:14.6,3:44:47.4,8,17 Tau,56.1975,
76,17 Tau,24.1198611111,17tau,nk240028.fits,24:07:11.5,3:44:47.7,8,17 Tau,56.19875,
77,17 Tau,24.1155277778,17tau,nk250020.fits,24:06:55.9,3:44:50.2,8,17 Tau,56.2091666667,
78,17 Tau,24.1186666667,17tau,ok240021.fits,24:07:07.2,3:44:51.8,8,17 Tau,56.2158333333,
79,17 Tau,24.1205833333,17tau,pa090027.fits,24:07:14.1,3:44:43.8,8,17 Tau,56.1825,
80,17 Tau,24.1393611111,17tau,pa090040.fits,24:08:21.7,3:44:50.2,8,17 Tau,56.2091666667,
81,17 Tau,24.1256388889,17tau,pa150032.fits,24:07:32.3,3:44:52.1,8,17 Tau,56.2170833333,
82,17 Tau,24.1393888889,17tau,pa260014.fits,24:08:21.8,3:45:11.0,8,17 Tau,56.2958333333,
83,17 Tau,24.1183333333,17tau,pb240023.fits,24:07:06.0,3:45:20.0,8,17 Tau,56.3333333333,
84,17 Tau,24.1182777778,17tau,pb240025.fits,24:07:05.8,3:45:20.8,8,17 Tau,56.3366666667,
85,17 Tau,24.1151666667,17tau,pb270013.fits,24:06:54.6,3:45:21.3,8,17 Tau,56.33875,
86,17 Tau,24.1225,17tau,pb270018.fits,24:07:21.0,3:45:24.1,8,17 Tau,56.3504166667,
87,17 Tau,24.1263333333,17tau,pc200009.fits,24:07:34.8,3:45:10.9,8,17 Tau,56.2954166667,
88,17 Tau,24.1318611111,17tau,pc240017.fits,24:07:54.7,3:45:14.4,8,17 Tau,56.31,
89,17 Tau,24.1560555556,17tau,pd230012.fits,24:09:21.8,3:44:43.5,8,17 Tau,56.18125,
90,17 Tau,24.1074444444,17tau,pl140025.fits,24:06:26.8,3:44:48.6,8,17 Tau,56.2025,
91,17 Tau,24.1614444444,17tau,qc280014.fits,24:09:41.2,3:45:15.4,8,17 Tau,56.3141666667,
92,17 Tau,24.1631944444,17tau,qc280015.fits,24:09:47.5,3:45:16.2,8,17 Tau,56.3175,
93,17 Tau,24.1186388889,17tau,rc110012.fits,24:07:07.10,03:44:51.473,8,17 Tau,56.2144708333,
94,17 Tau,24.1133333333,17tau,ri270043.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
95,17 Tau,24.1133333333,17tau,rj230026.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
96,17 Tau,24.1133333333,17tau,rj230028.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
97,17 Tau,24.1133333333,17tau,sa080023.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
98,17 Tau,24.1133333333,17tau,sa290007.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
99,17 Tau,24.1133333333,17tau,sh200045.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
100,17 Tau,24.1133333333,17tau,sh270032.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
101,17 Tau,24.1133333333,17tau,sh270034.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
102,17 Tau,24.1133333333,17tau,si220023.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
103,17 Tau,24.1133333333,17tau,tc180012.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
104,17 Tau,24.1133333333,17tau,tc240012.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
105,17 Tau,24.1133333333,17tau,ti040071.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
106,17 Tau,24.1133333333,17tau,ti050076.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
107,17 Tau,24.1133333333,17tau,tj210026.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
108,17 Tau,24.1133333333,17tau,ui280045.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
109,17 Tau,24.1133333333,17tau,uk110032.fits,+24:06:48.00,03:44:52.540,8,17 Tau,56.2189166667,
110,18 And,50.4717222222,18and,uh050016.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,
111,18 And,50.4717222222,18and,uh180003.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,
112,18 And,50.4717222222,18and,uh230030.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,
113,18 And,50.4717222222,18and,uh300056.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,
114,18 And,50.4717222222,18and,ui040019.fits,+50:28:18.20,23:39:08.327,5,18 And,354.784695833,
115,19 Cep,62.2798055556,19cep,vb080024.fits,+62:16:47.30,22:05:08.787,0,19 Cep,331.2866125,
116,        V1972 Cyg,39.5324444444,v1972cyg,qe190013.fits,39:31:56.8,20:21:52.5,8,1972 Cyg,305.46875,1972 Cyg
117,  HD 199579,44.9247222222,hr8023,tg180045.fits,+44:55:29.00,20:56:34.780,0,199579,314.144916667,199579
118,2 Tau,9.71575,2tau,tl300002.fits,+09:42:56.70,03:27:02.460,5,2 Tau,51.76025,
119,2 Tau,9.73266666667,2tau,ub060036.fits,+09:43:57.60,03:27:10.147,5,2 Tau,51.7922791667,
120,20 Vul,26.4788055556,20vul,tg050015.fits,+26:28:43.70,20:12:00.700,9,20 Vul,303.002916667,
121,21 LMi,35.2158333333,21lmi,oc240026.fits,35:12:57.0,10:07:45.1,5,21 LMi,151.937916667,
122,21 LMi,35.2156666667,21lmi,oc240027.fits,35:12:56.4,10:07:45.4,5,21 LMi,151.939166667,
123,21 LMi,35.1720555556,21lmi,pc190032.fits,35:10:19.4,10:07:38.9,5,21 LMi,151.912083333,
124,21 LMi,35.1721111111,21lmi,pc190033.fits,35:10:19.6,10:07:38.9,5,21 LMi,151.912083333,
125,21 LMi,35.1718888889,21lmi,pc190034.fits,35:10:18.8,10:07:39.1,5,21 LMi,151.912916667,
126,224014,57.4993611111,rhocas,ui140039.fits,+57:29:57.70,23:54:23.027,8,224014,358.595945833,
127,228 Eri,-13.0483611111,228eri,tj290048.fits,-13:02:54.10,04:29:06.927,9,228 Eri,67.2788625,
128,23 Tau,23.9546666667,23tau,la050027.fits,23:57:16.8,3:46:16.1,8,23 Tau,56.5670833333,
129,23 Tau,23.9715555556,23tau,mh250034.fits,23:58:17.6,3:46:23.5,8,23 Tau,56.5979166667,
130,23 Tau,23.97075,23tau,mh250035.fits,23:58:14.7,3:46:23.5,8,23 Tau,56.5979166667,
131,23 Tau,23.95425,23tau,mi170057.fits,23:57:15.3,3:46:11.6,8,23 Tau,56.5483333333,
132,23 Tau,23.9481944444,23tau,mi170058.fits,23:56:53.5,3:46:19.5,8,23 Tau,56.58125,
133,23 Tau,23.9573888889,23tau,mk130024.fits,23:57:26.6,3:46:15.7,8,23 Tau,56.5654166667,
134,23 Tau,23.9573888889,23tau,mk130025.fits,23:57:26.6,3:46:15.8,8,23 Tau,56.5658333333,
135,23 Tau,23.9758888889,23tau,na220022.fits,23:58:33.2,3:46:10.3,8,23 Tau,56.5429166667,
136,23 Tau,23.9545,23tau,na240028.fits,23:57:16.2,3:46:39.5,8,23 Tau,56.6645833333,
137,23 Tau,23.9511111111,23tau,nk250021.fits,23:57:04.0,3:46:17.5,8,23 Tau,56.5729166667,
138,23 Tau,23.9614722222,23tau,pa090032.fits,23:57:41.3,3:46:13.5,8,23 Tau,56.55625,
139,23 Tau,23.9483333333,23tau,ti040070.fits,+23:56:54.00,03:46:19.567,8,23 Tau,56.5815291667,
140,25 Cyg,37.0428611111,25cyg,tg140038.fits,+37:02:34.30,19:59:55.200,x,25 Cyg,299.98,
141,25 Ori,1.84644444444,25ori,tj250017.fits,+01:50:47.20,05:24:44.827,4,25 Ori,81.1867791667,
142,25 Ori,1.84644444444,25ori,va290046.fits,+01:50:47.20,05:24:44.827,4,25 Ori,81.1867791667,
143,25 Peg,21.7029166667,25peg,ti040056.fits,+21:42:10.50,22:07:50.300,1,25 Peg,331.959583333,
144,25 Peg,21.7029166667,25peg,va310011.fits,+21:42:10.50,22:07:50.300,1,25 Peg,331.959583333,
145,25 Tau,24.1045277778,etatau,mi170059.fits,24:06:16.3,3:47:29.2,4,25 Tau,56.8716666667,
146,25 Tau,24.1139722222,etatau,mk130026.fits,24:06:50.3,3:47:25.8,4,25 Tau,56.8575,
147,25 Tau,24.1125833333,etatau,na240030.fits,24:06:45.3,3:47:50.1,4,25 Tau,56.95875,
148,25 Tau,24.1091666667,etatau,nk250025.fits,24:06:33.0,3:47:28.4,4,25 Tau,56.8683333333,
149,25 Tau,24.1201388889,etatau,pa090034.fits,24:07:12.5,3:47:23.1,4,25 Tau,56.84625,
150,25 Vul,24.46475,25vul,mg230020.fits,24:27:53.1,20:22:06.1,4,25 Vul,305.525416667,
151,25 Vul,24.467,25vul,mk120027.fits,24:28:01.2,20:22:03.6,4,25 Vul,305.515,
152,25 Vul,24.4460833333,25vul,tj140007.fits,+24:26:45.90,20:22:03.427,4,25 Vul,305.514279167,
153,27 Tau,52.7175,27tau,mh160037.fits,52:43:03.0,1:28:04.6,5,27 Tau,22.0191666667,
154,27 Tau,24.0545277778,27tau,nk250018.fits,24:03:16.3,3:49:07.4,5,27 Tau,57.2808333333,
155,27 Tau,24.0704166667,27tau,qi170040.fits,24:04:13.5,3:49:06.5,5,27 Tau,57.2770833333,
156,27 Tau,24.1226111111,27tau,qi190068.fits,24:07:21.4,3:49:45.0,5,27 Tau,57.4375,
157,27 Tau,24.0676388889,27tau,qi210048.fits,24:04:03.5,3:49:38.1,5,27 Tau,57.40875,
158,27 Tau,24.0670833333,27tau,qi210049.fits,24:04:01.5,3:49:38.0,5,27 Tau,57.4083333333,
159,27 Tau,24.0595833333,27tau,qi240024.fits,24:03:34.5,3:49:02.7,5,27 Tau,57.26125,
160,27 Tau,24.0803055556,27tau,qi300057.fits,24:04:49.1,3:49:18.8,5,27 Tau,57.3283333333,
161,27 Tau,24.08,27tau,qi300058.fits,24:04:48.0,3:49:18.9,5,27 Tau,57.32875,
162,27 Tau,24.08,27tau,qi300059.fits,24:04:48.0,3:49:19.0,5,27 Tau,57.3291666667,
163,27 Tau,24.0958888889,27tau,qj100012.fits,24:05:45.2,3:49:16.4,5,27 Tau,57.3183333333,
164,27 Tau,24.0617222222,27tau,qj140016.fits,24:03:42.2,3:49:13.0,5,27 Tau,57.3041666667,
165,27 Tau,24.0613333333,27tau,qj150039.fits,24:03:40.8,3:49:15.3,5,27 Tau,57.31375,
166,27 Tau,24.0534166667,27tau,ra240024.fits,24:03:12.3,03:49:09.7,5,27 Tau,57.2904166667,
167,27 Tau,24.0534166667,27tau,ra240028.fits,24:03:12.3,03:49:09.7,5,27 Tau,57.2904166667,
168,27 Tau,24.0534166667,27tau,ra240030.fits,24:03:12.3,03:49:09.7,5,27 Tau,57.2904166667,
169,27 Tau,24.0534166667,27tau,ra240032.fits,24:03:12.3,03:49:09.7,5,27 Tau,57.2904166667,
170,27 Tau,24.0533333333,27tau,rb110008.fits,24:03:12.00,03:49:10.000,5,27 Tau,57.2916666667,
171,27 Tau,24.0533333333,27tau,rb110010.fits,24:03:12.00,03:49:10.000,5,27 Tau,57.2916666667,
172,27 Tau,24.0606666667,27tau,rb260026.fits,24:03:38.40,03:49:07.613,5,27 Tau,57.2817208333,
173,27 Tau,24.0606666667,27tau,rb260027.fits,24:03:38.40,03:49:07.613,5,27 Tau,57.2817208333,
174,27 Tau,24.0655277778,27tau,rc100009.fits,24:03:55.90,03:49:07.447,5,27 Tau,57.2810291667,
175,27 Tau,24.0485,27tau,rc310010.fits,+24:02:54.60,03:49:11.220,5,27 Tau,57.29675,
176,27 Tau,24.0534166667,27tau,rd140008.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
177,27 Tau,24.0534166667,27tau,rd140009.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
178,27 Tau,24.0534166667,27tau,ti200032.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
179,27 Tau,24.0534166667,27tau,tj120039.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
180,27 Tau,24.0534166667,27tau,tj120040.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
181,27 Tau,24.0221666667,27tau,tl300013.fits,+24:01:19.80,03:48:55.887,5,27 Tau,57.2328625,
182,27 Tau,24.0534166667,27tau,ub060033.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
183,27 Tau,24.0534166667,27tau,ub070012.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
184,27 Tau,24.0534166667,27tau,ub070013.fits,+24:03:12.30,03:49:09.740,5,27 Tau,57.2905833333,
185,27 Vul,26.4712222222,27vul,qj130022.fits,26:28:16.4,20:37:04.4,5,27 Vul,309.268333333,
186,27 Vul,26.4619444444,27vul,rg010016.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
187,27 Vul,26.4619444444,27vul,rg080027.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
188,27 Vul,26.4619444444,27vul,rg270030.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
189,27 Vul,26.4619444444,27vul,rg300024.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
190,27 Vul,26.4619444444,27vul,rh270020.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
191,27 Vul,26.4619444444,27vul,rh300022.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
192,27 Vul,26.4619444444,27vul,rk030025.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
193,27 Vul,26.4619444444,27vul,sg050025.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
194,27 Vul,26.4619444444,27vul,sh240017.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
195,27 Vul,26.4619444444,27vul,sh250012.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
196,27 Vul,26.4619444444,27vul,sh260012.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
197,27 Vul,26.4619444444,27vul,sh300012.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
198,27 Vul,26.4619444444,27vul,sh310012.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
199,27 Vul,26.4619444444,27vul,sj090012.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
200,27 Vul,26.4619444444,27vul,uh020019.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
201,27 Vul,26.4619444444,27vul,uh050012.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
202,27 Vul,26.4619444444,27vul,uh110013.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
203,27 Vul,26.4619444444,27vul,uh180015.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
204,27 Vul,26.4619444444,27vul,uh230024.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
205,27 Vul,26.4619444444,27vul,uh250035.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
206,27 Vul,26.4619444444,27vul,uh300047.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
207,27 Vul,26.4619444444,27vul,uh310023.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
208,27 Vul,26.4619444444,27vul,uh310032.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
209,27 Vul,26.4619444444,27vul,ui040015.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
210,27 Vul,26.4619444444,27vul,ui060019.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
211,27 Vul,26.4619444444,27vul,ui090025.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
212,27 Vul,26.4619444444,27vul,ui100033.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
213,27 Vul,26.4619444444,27vul,ui140021.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
214,27 Vul,26.4619444444,27vul,ui270011.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
215,27 Vul,26.4619444444,27vul,uj220024.fits,+26:27:43.00,20:37:04.667,5,27 Vul,309.269445833,
216,27Vul,26.4619444444,27vul,rg290032.fits,+26:27:43.00,20:37:04.667,5,27Vul,309.269445833,
217,27Vul,26.4619444444,27vul,rg310024.fits,+26:27:43.00,20:37:04.667,5,27Vul,309.269445833,
218,27Vul,26.4619444444,27vul,rh050015.fits,+26:27:43.00,20:37:04.667,5,27Vul,309.269445833,
219,27Vul,26.4619444444,27vul,ug230029.fits,+26:27:43.00,20:37:04.667,5,27Vul,309.269445833,
220,27vul,26.4619444444,27vul,rg260032.fits,+26:27:43.00,20:37:04.667,5,27vul,309.269445833,
221,28 Cyg,36.8551944444,28cyg,mg230011.fits,36:51:18.7,20:09:31.6,8,28 Cyg,302.381666667,
222,28 Cyg,36.8489444444,28cyg,mh020009.fits,36:50:56.2,20:09:32.0,8,28 Cyg,302.383333333,
223,28 Cyg,36.8534444444,28cyg,mi140016.fits,36:51:12.4,20:08:59.0,8,28 Cyg,302.245833333,
224,28 Cyg,36.8396111111,28cyg,tg140037.fits,+36:50:22.60,20:09:25.620,8,28 Cyg,302.35675,
225,28 Cyg,36.8396111111,28cyg,uh110021.fits,+36:50:22.60,20:09:25.620,8,28 Cyg,302.35675,
226,28 Cyg,36.8396111111,28cyg,ui090023.fits,+36:50:22.60,20:09:25.620,8,28 Cyg,302.35675,
227,28 Tau,24.1357777778,28tau,mi170060.fits,24:08:08.8,3:49:11.5,8,28 Tau,57.2979166667,
228,28 Tau,24.1356388889,28tau,mi170061.fits,24:08:08.3,3:49:11.5,8,28 Tau,57.2979166667,
229,28 Tau,24.15375,28tau,mi190024.fits,24:09:13.5,3:49:28.2,8,28 Tau,57.3675,
230,28 Tau,24.1521111111,28tau,mi190025.fits,24:09:07.6,3:49:28.4,8,28 Tau,57.3683333333,
231,28 Tau,24.1367222222,28tau,mi210084.fits,24:08:12.2,3:49:11.2,8,28 Tau,57.2966666667,
232,28 Tau,24.1367222222,28tau,mi210085.fits,24:08:12.2,3:49:11.2,8,28 Tau,57.2966666667,
233,28 Tau,24.1367222222,28tau,mi210086.fits,24:08:12.2,3:49:11.22,8,28 Tau,57.29675,
234,28 Tau,24.1447222222,28tau,mk130028.fits,24:08:41.0,3:49:08.3,8,28 Tau,57.2845833333,
235,28 Tau,24.1450555556,28tau,mk130029.fits,24:08:42.2,3:49:08.4,8,28 Tau,57.285,
236,28 Tau,24.1449444444,28tau,mk130030.fits,24:08:41.8,3:49:08.8,8,28 Tau,57.2866666667,
