,correct_name,dec,dir_name,file_name,fits_dec,fits_ra,group,object,ra
22,delta Lib,-8.54280555556,dellib,qg070027.fits,-8:32:34.1,15:00:56.3,0,delta Lib,225.234583333
23,delta Lib,-8.54213888889,dellib,qg070028.fits,-8:32:31.7,15:00:56.5,0,delta Lib,225.235416667
24,delta Lib,-8.54072222222,dellib,qg070029.fits,-8:32:26.6,15:00:56.9,0,delta Lib,225.237083333
25,del UMi,86.5864444444,delumi,ri260035.fits,+86:35:11.20,17:32:13.000,0,del UMi,263.054166667
26,EE Dra,69.5313055556,eedra,sh200016.fits,+69:31:52.70,18:58:52.600,0,EE Dra,284.719166667
27,eps Cas,63.6700833333,epscas,tg160068.fits,+63:40:12.30,01:54:23.727,0,eps Cas,28.5988625
28,etaLyr,39.1647777778,etalyr,of190031.fits,39:09:53.2,19:13:45.2,0,etaLyr,288.438333333
29,etaLyr,39.1621944444,etalyr,of190034.fits,39:09:43.9,19:13:44.5,0,etaLyr,288.435416667
30,Feige66,25.0666666667,feige66,td240036.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
31,Feige66,25.0666666667,feige66,td240038.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
32,Feige66,25.0666666667,feige66,td240040.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
33,Feige66,25.0666666667,feige66,td240042.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
34,Feige66,25.0666666667,feige66,td240044.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
35,Feige66,25.0666666667,feige66,td250035.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
36,Feige66,25.0666666667,feige66,td250037.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
37,Feige66,25.0666666667,feige66,td250039.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
38,Feige66,25.0666666667,feige66,td250041.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
39,Feige66,25.0666666667,feige66,td250043.fits,+25:04:00.00,12:37:23.500,0,Feige66,189.347916667
40,GALEXJ0737+3714,37.2335,galexj0737pl3714,sd140027.fits,+37:14:00.60,07:37:25.200,0,GALEXJ0737+3714,114.355
41,GALEXJ0737+3714,37.2335,galexj0737pl3714,sd140028.fits,+37:14:00.60,07:37:25.200,0,GALEXJ0737+3714,114.355
42,GALEX1911+8716,87.2678611111,galexj1911pl8716,uc040052.fits,+87:16:04.30,19:11:06.820,0,GALEX1911+8716,287.778416667
43,gam Cam,71.3106388889,gamcam,qd050012.fits,71:18:38.3,3:51:57.9,0,gam Cam,57.99125
44,gamma Dra,51.4888888889,gamdra,ti190007.fits,+51:29:20.00,17:56:36.400,0,gamma Dra,269.151666667
45,gamma Dra,51.4888888889,gamdra,ti190008.fits,+51:29:20.00,17:56:36.400,0,gamma Dra,269.151666667
46,gamma Dra,51.4888888889,gamdra,ti210004.fits,+51:29:20.00,17:56:36.400,0,gamma Dra,269.151666667
47,gamma Dra,51.4888888889,gamdra,ti220002.fits,+51:29:20.00,17:56:36.400,0,gamma Dra,269.151666667
48,gam UMa,53.69475,gamuma,tj250026.fits,+53:41:41.10,11:53:49.847,0,gam UMa,178.457695833
49,gamma UMi,71.8340277778,gamumi,rc300040.fits,+71:50:02.50,15:20:43.700,0,gamma UMi,230.182083333
50,GSC366-878,0.597027777778,gsc366-878,of160013.fits,0:35:49.3,16:00:19.5,0,GSC366-878,240.08125
51,GSC4120-1000,65.5761111111,gsc4120-1000,nh040014.fits,65:34:34.0,7:37:29.2,0,GSC4120-1000,114.371666667
52,GZ Peg,8.67713888889,gzpeg,tg060042.fits,+08:40:37.70,23:09:31.460,0,GZ Peg,347.381083333
53,HIP58723,35.7235277778,hd104573,qe020022.fits,35:43:24.7,12:02:40.1,0,HIP58723,180.667083333
54,HIP58723,35.7271666667,hd104573,qe020024.fits,35:43:37.8,12:02:40.2,0,HIP58723,180.6675
55,HD10664,62.9368055556,hd10664,tg120030.fits,+62:56:12.50,01:45:58.100,0,HD10664,26.4920833333
56,HD 116798,54.8331666667,hd116798,oc220045.fits,54:49:59.4,13:25:09.1,0,HD 116798,201.287916667
57,HIP65678,52.7455833333,hd117242,rd130014.fits,+52:44:44.10,13:27:59.627,0,HIP65678,201.998445833
58,HIP65678,52.7455833333,hd117242,rd130015.fits,+52:44:44.10,13:27:59.627,0,HIP65678,201.998445833
59,HIP068092,1.00663888889,hd121607,qf180021.fits,1:00:23.9,13:56:25.1,0,HIP068092,209.104583333
60,HIP068092,1.00866666667,hd121607,qf180023.fits,1:00:31.2,13:56:26.9,0,HIP068092,209.112083333
61,HIP70709,58.3345,hd127147,rd130017.fits,+58:20:04.20,14:27:42.667,0,HIP70709,216.927779167
62,HIP70709,58.3345,hd127147,rd130018.fits,+58:20:04.20,14:27:42.667,0,HIP70709,216.927779167
63,HIP74155,69.6492222222,hd135119,qe020026.fits,69:38:57.2,15:09:25.5,0,HIP74155,227.35625
64,HIP74155,69.6533333333,hd135119,qe020028.fits,69:39:12.0,15:09:08.1,0,HIP74155,227.28375
65,HIP079024,16.72575,hd144922,qf240016.fits,16:43:32.7,16:07:58.9,0,HIP079024,241.995416667
66,HIP079024,16.7343888889,hd144922,qf240018.fits,16:44:03.8,16:07:45.7,0,HIP079024,241.940416667
67,HIP079024,16.7361388889,hd144922,qf240020.fits,16:44:10.1,16:07:46.8,0,HIP079024,241.945
68,HD 149382,-4.01444444444,hd149382,od150042.fits,-04:00:52.0,16:34:23.33,0,HD 149382,248.597208333
69,HIP082765,28.0968333333,hd152877,qe240013.fits,28:05:48.6,16:54:54.7,0,HIP082765,253.727916667
70,HIP082765,28.0954722222,hd152877,qe240015.fits,28:05:43.7,16:54:55.2,0,HIP082765,253.73
71,HD 155609,7.24233333333,hd155609,ui060008.fits,+07:14:32.40,17:12:23.207,0,HD 155609,258.096695833
72,HD164429,45.4762222222,hd164429,vb260071.fits,+45:28:34.40,17:58:52.307,0,HD164429,269.717945833
73,HD 168957,25.0567777778,hd168957,ub070092.fits,+25:03:24.40,18:21:27.767,0,HD 168957,275.365695833
74,HD 168957,25.0567777778,hd168957,ub070093.fits,+25:03:24.40,18:21:27.767,0,HD 168957,275.365695833
75,HIP090837,59.3869166667,hd171566,qe240017.fits,59:23:12.9,18:32:02.5,0,HIP090837,278.010416667
76,HIP090837,59.3850277778,hd171566,qe240019.fits,59:23:06.1,18:32:03.3,0,HIP090837,278.01375
77,HD 176582,39.2173055556,hd176582,vd010029.fits,+39:13:02.30,18:59:12.287,0,HD 176582,284.801195833
78,HIP093764,4.33547222222,hd177702,qe230025.fits,4:20:07.7,19:05:20.3,0,HIP093764,286.334583333
79,HIP093764,4.33225,hd177702,qe230027.fits,4:19:56.1,19:05:20.8,0,HIP093764,286.336666667
80,HIP094990,12.9174444444,hd181362,qi140021.fits,12:55:02.8,19:19:46.6,0,HIP094990,289.944166667
81,HIP094990,12.919,hd181362,qi140023.fits,12:55:08.4,19:19:47.7,0,HIP094990,289.94875
82,HD183261,20.2473611111,hd183261,tg060024.fits,+20:14:50.50,19:27:54.060,0,HD183261,291.97525
83,HIP97108,12.3725277778,hd186455,rd130020.fits,+12:22:21.10,19:44:06.100,0,HIP97108,296.025416667
84,HIP97108,12.3725277778,hd186455,rd130021.fits,+12:22:21.10,19:44:06.100,0,HIP97108,296.025416667
85,HIP097155,46.0579166667,hd186857,qe230017.fits,46:03:28.5,19:44:35.9,0,HIP097155,296.149583333
86,HIP097155,46.0529444444,hd186857,qe230019.fits,46:03:10.6,19:44:35.9,0,HIP097155,296.149583333
87,HIP097155,46.0486666667,hd186857,qe230021.fits,46:02:55.2,19:44:36.1,0,HIP097155,296.150416667
88,HD 187523,39.9166388889,hd187523,sj090017.fits,+39:54:59.90,19:48:44.067,0,HD 187523,297.1836125
89,HIP98728,41.4744444444,hd190401,rd130023.fits,+41:28:28.00,20:03:09.087,0,HIP98728,300.7878625
90,HIP98728,41.4744444444,hd190401,rd130024.fits,+41:28:28.00,20:03:09.087,0,HIP98728,300.7878625
91,HIP099640,71.1013888889,hd193138,qf180027.fits,71:06:05.0,20:13:41.0,0,HIP099640,303.420833333
92,HIP099640,71.1008333333,hd193138,qf180029.fits,71:06:03.0,20:13:43.8,0,HIP099640,303.4325
93,HD 201522,47.2570277778,hd201522,ug110036.fits,+47:15:25.30,21:08:29.627,0,HD 201522,317.123445833
94,6 Cep,64.7945833333,hd203573,qa140012.fits,64:47:40.5,21:20:15.4,0,6 Cep,320.064166667
95,6 Cep,64.7945,hd203573,qa140013.fits,64:47:40.2,21:20:15.4,0,6 Cep,320.064166667
96,HIP106223,16.5914444444,hd204843,qe240023.fits,16:35:29.2,21:30:55.2,0,HIP106223,322.73
97,HIP106223,16.5874166667,hd204843,qe240025.fits,16:35:14.7,21:30:55.5,0,HIP106223,322.73125
98,HD206267,57.4890277778,hd206267,tg180043.fits,+57:29:20.50,21:38:57.620,0,HD206267,324.740083333
99,HD 208440,62.6103611111,hd208440,pj200025.fits,62:36:37.3,21:53:31.2,0,HD 208440,328.38
100,HD 208682,65.3208055556,hd208682,ti040055.fits,+65:19:14.90,21:55:31.000,0,HD 208682,328.879166667
101,HIP111875,42.2179166667,hd214767,qe230031.fits,42:13:04.5,22:39:46.4,0,HIP111875,339.943333333
102,HIP111875,42.2148333333,hd214767,qe230033.fits,42:12:53.4,22:39:45.2,0,HIP111875,339.938333333
103,HD 216057,54.4148888889,hd216057,ti300042.fits,+54:24:53.60,22:48:47.887,0,HD 216057,342.199529167
104,HD217411,-7.06919444444,hd217411,tj130031.fits,-07:04:09.10,23:00:35.627,0,HD217411,345.148445833
105,HIP113764,53.8611666667,hd217768,qf240022.fits,53:51:40.2,23:02:29.5,0,HIP113764,345.622916667
106,HIP113764,53.8090555556,hd217768,qf240024.fits,53:48:32.6,23:02:20.4,0,HIP113764,345.585
107,HIP115093,36.1061111111,hd219843,qi140027.fits,36:06:22.0,23:18:51.2,0,HIP115093,349.713333333
108,HD220582,25.4963888889,hd220582,tg120032.fits,+25:29:47.00,23:24:45.387,0,HD220582,351.1891125
109,HD 224544,32.3816944444,hd224544,ti300044.fits,+32:22:54.10,23:58:49.227,0,HD 224544,359.7051125
110,HIP17585,67.2015833333,hd23005,rd270011.fits,+67:12:05.70,03:46:00.940,0,HIP17585,56.5039166667
111,HIP17585,67.2015833333,hd23005,rd270012.fits,+67:12:05.70,03:46:00.940,0,HIP17585,56.5039166667
112,HD232525,53.6077222222,hd232525,tg150051.fits,+53:36:27.80,01:46:08.587,0,HD232525,26.5357791667
113,HD 242926,33.31925,hd242926,rj080027.fits,+33:19:09.30,05:22:40.100,0,HD 242926,80.6670833333
114,HIP018383,56.9416944444,hd24395,qd080021.fits,56:56:30.1,3:56:28.4,0,HIP018383,59.1183333333
115,HIP018383,56.9441944444,hd24395,qd080023.fits,56:56:39.1,3:56:28.6,0,HIP018383,59.1191666667
116,HD 246878,27.2298888889,hd246878,ti300068.fits,+27:13:47.60,05:44:27.727,0,HD 246878,86.1155291667
117,HD 25594,40.7591666667,hd25594,pj190033.fits,40:45:33.0,20:23:19.0,0,HD 25594,305.829166667
118,HD 37903,-2.259,hd37903,ti300069.fits,-02:15:32.40,05:41:38.387,0,HD 37903,85.4099458333
119,HIP27249,56.1155555556,hd38091,rd270017.fits,+56:06:56.00,05:46:30.387,0,HIP27249,86.6266125
120,HIP27249,56.1155555556,hd38091,rd270018.fits,+56:06:56.00,05:46:30.387,0,HIP27249,86.6266125
121,HD 42259,-5.06669444444,hd42259,ti300070.fits,-05:04:00.10,06:09:33.627,0,HD 42259,92.3901125
122,HD 43285,6.06616666667,hd43285,tj310050.fits,+06:03:58.20,06:15:40.180,0,HD 43285,93.9174166667
123,HD 4539,10.03975,hd4539,nh090022.fits,10:02:23.1,0:46:56.8,0,HD 4539,11.7366666667
124,HD 4539,10.0348055556,hd4539,nh090024.fits,10:02:05.3,0:46:58.3,0,HD 4539,11.7429166667
125,HD 4539,10.0311944444,hd4539,nh090026.fits,10:01:52.3,0:47:00.3,0,HD 4539,11.75125
126,HD 4539,10.0270555556,hd4539,nh110020.fits,10:01:37.4,0:47:23.8,0,HD 4539,11.8491666667
127,HD 4539,10.0250555556,hd4539,nh110022.fits,10:01:30.2,0:47:23.2,0,HD 4539,11.8466666667
128,HD 46131,-22.3218055556,hd46131,vc150024.fits,-22:19:18.50,06:30:38.520,0,HD 46131,97.6605
129,HD 4931,60.0899444444,hd4931,ti050071.fits,+60:05:23.80,00:52:15.447,0,HD 4931,13.0643625
130,HD 49787,-5.51319444444,hd49787,vc150036.fits,-05:30:47.50,06:49:55.520,0,HD 49787,102.481333333
131,HD 56039,-11.8703888889,hd56039,ua160037.fits,-11:52:13.40,07:14:59.907,0,HD 56039,108.7496125
132,HD66665,6.18605555556,hd66665,va270019.fits,+06:11:09.80,08:04:47.847,0,HD66665,121.1993625
133,HD66665,6.18605555556,hd66665,va270025.fits,+06:11:09.80,08:04:47.847,0,HD66665,121.1993625
134,HIP39837,14.8040833333,hd67403,qe020014.fits,14:48:14.7,8:08:13.2,0,HIP39837,122.055
135,HIP39837,14.8536666667,hd67403,qe020016.fits,14:51:13.2,8:08:22.6,0,HIP39837,122.094166667
136,HIP40474,60.3805833333,hd68457,rd130006.fits,+60:22:50.10,08:15:50.500,0,HIP40474,123.960416667
137,HIP40474,60.3805833333,hd68457,rd130007.fits,+60:22:50.10,08:15:50.500,0,HIP40474,123.960416667
138,HIP5659,65.0091111111,hd7102,sd140024.fits,+65:00:32.80,01:12:41.260,0,HIP5659,18.1719166667
139,HIP5659,65.0091111111,hd7102,sd140025.fits,+65:00:32.80,01:12:41.260,0,HIP5659,18.1719166667
140,HD 71072,-12.7647777778,hd71072,ub240047.fits,-12:45:53.20,08:25:00.400,0,HD 71072,126.251666667
141,HIP43984,58.2187777778,hd76216,rd130009.fits,+58:13:07.60,08:57:25.127,0,HIP43984,134.354695833
142,HIP43984,58.2187777778,hd76216,rd130010.fits,+58:13:07.60,08:57:25.127,0,HIP43984,134.354695833
143,HD 7720,61.8929166667,hd7720,tj300034.fits,+61:53:34.50,01:18:27.087,0,HD 7720,19.6128625
144,HIP47084,53.2945277778,hd82740,rd270023.fits,+53:17:40.30,09:35:42.467,0,HIP47084,143.926945833
145,HIP47084,53.2945277778,hd82740,rd270024.fits,+53:17:40.30,09:35:42.467,0,HIP47084,143.926945833
146,hd 90052,26.3124166667,hd90052,nc290017.fits,26:18:44.7,10:24:29.9,0,hd 90052,156.124583333
147,hd 90052,26.3164722222,hd90052,nc290019.fits,26:18:59.3,10:24:32.9,0,hd 90052,156.137083333
148,HD90052,26.3510277778,hd90052,tj130057.fits,+26:21:03.70,10:24:06.000,0,HD90052,156.025
149,HD90052,26.3510277778,hd90052,uc090038.fits,+26:21:03.70,10:24:05.900,0,HD90052,156.024583333
150,HD90052,26.3510277778,hd90052,uc270025.fits,+26:21:03.70,10:24:05.900,0,HD90052,156.024583333
151,HD90052,26.3510277778,hd90052,uc290027.fits,+26:21:03.70,10:24:05.900,0,HD90052,156.024583333
152,HD90052,26.3510277778,hd90052,uc290029.fits,+26:21:03.70,10:24:05.900,0,HD90052,156.024583333
153,HD90052,26.3510277778,hd90052,uk120085.fits,+26:21:03.70,10:24:05.900,0,HD90052,156.024583333
154,HD 91120,-13.5884444444,hd91120,ua280062.fits,-13:35:18.40,10:30:59.840,0,HD 91120,157.749333333
155,HIP53173,51.997,hd94117,qe240009.fits,51:59:49.2,10:53:07.8,0,HIP53173,163.2825
156,HIP53173,51.9991388889,hd94117,qe240011.fits,51:59:56.9,10:53:09.8,0,HIP53173,163.290833333
157,HIP55391,44.9490277778,hd98526,qd080027.fits,44:56:56.5,11:20:38.8,0,HIP55391,170.161666667
158,HIP55391,44.9489444444,hd98526,qd080029.fits,44:56:56.2,11:20:40.6,0,HIP55391,170.169166667
159,HIP55563,31.7880555556,hd98851,qe020018.fits,31:47:17.0,11:22:50.6,0,HIP55563,170.710833333
160,HIP55563,31.8280833333,hd98851,qe020020.fits,31:49:41.1,11:22:51.3,0,HIP55563,170.71375
161,HIP 101648,37.4174444444,hip101648,ug110032.fits,+37:25:02.80,20:36:18.207,0,HIP 101648,309.0758625
162,HIP 109320,61.6937777778,hip109320,ug110042.fits,+61:41:37.60,22:08:51.580,0,HIP 109320,332.214916667
163,HIP113231,-7.82261111111,hip113231,ti300034.fits,-07:49:21.40,22:55:49.980,0,HIP113231,343.95825
164,HIP 118163,61.1957777778,hip118163,uk140024.fits,+61:11:44.80,23:58:07.367,0,HIP 118163,359.530695833
165,HIP 35389,17.8829444444,hip35389,qi160035.fits,17:52:58.6,7:18:29.9,0,HIP 35389,109.624583333
166,HIP3550,14.3629166667,hip3550,sg310021.fits,+14:21:46.50,00:45:20.980,0,HIP3550,11.3374166667
167,HIP3550,14.3629166667,hip3550,sg310022.fits,+14:21:46.50,00:45:20.980,0,HIP3550,11.3374166667
168,HIP53355,25.4907222222,hip53355,uc270032.fits,+25:29:26.60,10:54:42.167,0,HIP53355,163.675695833
169,HIP53355,25.4907222222,hip53355,uc270033.fits,+25:29:26.60,10:54:42.167,0,HIP53355,163.675695833
170,HIP59519,-6.35961111111,hip59519,uc290035.fits,-06:21:34.60,12:12:22.740,0,HIP59519,183.09475
171,HIP59519,-6.35961111111,hip59519,uc290037.fits,-06:21:34.60,12:12:22.740,0,HIP59519,183.09475
172,HIP66243,9.72480555556,hip66243,uc270039.fits,+09:43:29.30,13:34:37.407,0,HIP66243,203.6558625
173,HIP66243,9.72480555556,hip66243,uc270040.fits,+09:43:29.30,13:34:37.407,0,HIP66243,203.6558625
174,HIP66243,9.72480555556,hip66243,uc290042.fits,+09:43:29.30,13:34:37.407,0,HIP66243,203.6558625
175,HIP098028,46.6612222222,hip98028,qf130011.fits,46:39:40.4,19:55:12.9,0,HIP098028,298.80375
176,HIP098028,46.6592777778,hip98028,qf130013.fits,46:39:33.4,19:55:13.4,0,HIP098028,298.805833333
177,HR 177,66.1830277778,hr177,pi300028.fits,66:10:58.9,0:42:46.9,0,HR 177,10.6954166667
178,HR 1847 B,17.0671666667,hr1847b,mj170025b.fits,17:04:01.8,5:32:14.2,0,HR 1847 B,83.0591666667
179,HR1847,17.0746666667,hr1847b,na050018.fits,17:04:28.8,5:32:33.8,0,HR1847,83.1408333333
180,HR1847A,17.0440555556,hr1847b,nd300001.fits,17:02:38.6,5:32:38.8,0,HR1847A,83.1616666667
181,HR 1847B,17.0664166667,hr1847b,nh220047.fits,17:03:59.1,5:32:50.4,0,HR 1847B,83.21
182,HR1847 B,17.0548888889,hr1847b,nj240060.fits,17:03:17.6,5:32:06.8,0,HR1847 B,83.0283333333
183,HR1847 B,17.0545277778,hr1847b,nj240061.fits,17:03:16.3,5:32:07.1,0,HR1847 B,83.0295833333
184,HR 1847B,17.0470555556,hr1847b,oc220012.fits,17:02:49.4,5:32:18.4,0,HR 1847B,83.0766666667
185,HR1847B,17.0448611111,hr1847b,od010017.fits,17:02:41.5,5:32:24.2,0,HR1847B,83.1008333333
186,HR1847b,17.0632777778,hr1847b,oi060038.fits,17:03:47.8,5:32:06.7,0,HR1847b,83.0279166667
187,HR 1847B,17.0479444444,hr1847b,oj070034b.fits,17:02:52.6,5:32:15.2,0,HR 1847B,83.0633333333
188,HR 1847B,17.10675,hr1847b,oj070040b.fits,17:06:24.3,5:32:42.9,0,HR 1847B,83.17875
189,HR 1847B,17.1053611111,hr1847b,oj070042b.fits,17:06:19.3,5:32:43.5,0,HR 1847B,83.18125
190,HR 1847B,17.1045277778,hr1847b,oj070044b.fits,17:06:16.3,5:32:44.1,0,HR 1847B,83.18375
191,HR 1847a,17.0632777778,hr1847b,oj280041.fits,17:03:47.8,5:32:13.6,0,HR 1847a,83.0566666667
192,HR 1847a,17.0628333333,hr1847b,oj280042.fits,17:03:46.2,5:32:13.7,0,HR 1847a,83.0570833333
193,HR1847a,17.0689722222,hr1847b,oj290034.fits,17:04:08.3,5:32:12.0,0,HR1847a,83.05
194,HR1847a,17.0689722222,hr1847b,oj290035.fits,17:04:08.3,5:32:11.1,0,HR1847a,83.04625
195,HR 1847B,17.0581388889,hr1847b,pj110026.fits,17:03:29.3,05:32:14.1,0,HR 1847B,83.05875
196,HR1847A+B,17.0573333333,hr1847b,qc160019b.fits,17:03:26.4,5:32:14.6,0,HR1847A+B,83.0608333333
197,HR1847B,17.0616666667,hr1847b,qc160039.fits,17:03:42.0,5:32:18.3,0,HR1847B,83.07625
198,HR1847B,17.0823333333,hr1847b,qc160048.fits,17:04:56.4,5:32:25.1,0,HR1847B,83.1045833333
199,HR 1847B,17.1040277778,hr1847b,qc270010.fits,17:06:14.5,5:32:39.2,0,HR 1847B,83.1633333333
200,HR 1847 B,17.0397777778,hr1847b,qd020011.fits,17:02:23.2,5:32:28.5,0,HR 1847 B,83.11875
201,HR 1847B,17.0599722222,hr1847b,qd130021.fits,17:03:35.9,5:32:15.9,0,HR 1847B,83.06625
202,HR 1847B,17.0619722222,hr1847b,qd140024.fits,17:03:43.1,5:32:15.1,0,HR 1847B,83.0629166667
203,HR 1847B,17.1149166667,hr1847b,qh240030.fits,17:06:53.7,5:31:48.5,0,HR 1847B,82.9520833333
204,HR 1847B,17.0504166667,hr1847b,qi150038.fits,17:03:01.5,5:32:16.0,0,HR 1847B,83.0666666667
205,HR 1847B,17.0524722222,hr1847b,qi160033.fits,17:03:08.9,5:32:15.3,0,HR 1847B,83.06375
206,HR 1847A+B,17.0440555556,hr1847b,qi160039b.fits,17:02:38.6,5:32:17.8,0,HR 1847A+B,83.0741666667
207,HR 1847A+B,17.0379444444,hr1847b,qj130046b.fits,17:02:16.6,5:32:17.7,0,HR 1847A+B,83.07375
208,HR 1847B,17.0580555556,hr1847b,rb250027.fits,17:03:29.00,05:32:14.000,0,HR 1847B,83.0583333333
209,HR 1847B,17.0614722222,hr1847b,rb250033.fits,17:03:41.30,05:32:08.093,0,HR 1847B,83.0337208333
210,HR 1847B,17.0614722222,hr1847b,rb250035.fits,17:03:41.30,05:32:08.093,0,HR 1847B,83.0337208333
211,HR 1847B,17.0560555556,hr1847b,rk030038.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
212,HR 1847B,17.0560555556,hr1847b,sh240035.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
213,HR 1847B,17.0560555556,hr1847b,sh300034.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
214,HR 1847B,17.0560555556,hr1847b,ub070033b.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
215,HR 1847A+B,17.0560555556,hr1847b,ub240014b.fits,+17:03:21.80,05:32:14.500,0,HR 1847A+B,83.0604166667
216,HR 1847B,17.0560555556,hr1847b,ub240049.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
217,HR 1847B,17.0560555556,hr1847b,uj220027.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
218,HR 1847B,17.0560555556,hr1847b,uj220031b.fits,+17:03:21.80,05:32:14.500,0,HR 1847B,83.0604166667
219,HR1847B+A,17.0560555556,hr1847b,uj220035b.fits,+17:03:21.80,05:32:14.500,0,HR1847B+A,83.0604166667
220,HR 1847B+A,17.0560555556,hr1847b,uj220039b.fits,+17:03:21.80,05:32:14.500,0,HR 1847B+A,83.0604166667
221,HR 1962,-16.7258055556,hr1962,uc060018.fits,-16:43:32.90,05:41:41.507,0,HR 1962,85.4229458333
222,HR6747,1.91722222222,hr6747,qe020034.fits,1:55:02.0,18:04:34.3,0,HR6747,271.142916667
223,HR6747,1.91888888889,hr6747,qe020036.fits,1:55:08.0,18:04:37.4,0,HR6747,271.155833333
224,HR 6906,15.0183888889,hr6906,qc160056.fits,15:01:06.2,18:25:16.2,0,HR 6906,276.3175
225,HR 7640,30.9836666667,hr7640,oc220051.fits,30:59:01.2,19:58:38.0,0,HR 7640,299.658333333
226,199579,44.9247222222,hr8023,tg180045.fits,+44:55:29.00,20:56:34.780,0,199579,314.144916667
227,HIP21894,0.929888888889,hseri,ua280021.fits,-00:55:47.60,04:42:22.567,0,HIP21894,70.5940291667
228,HIP21894,0.929888888889,hseri,ua280022.fits,-00:55:47.60,04:42:22.567,0,HIP21894,70.5940291667
229,iot Lyr,36.0891666667,iotlyr,tg180025.fits,+36:05:21.00,19:07:18.133,0,iot Lyr,286.825554167
230,iota ori,-5.89672222222,iotori,mi180081.fits,-5:53:48.2,5:35:34.6,0,iota ori,83.8941666667
231,iota ori,-5.89680555556,iotori,mi180082.fits,-5:53:48.5,5:35:34.7,0,iota ori,83.8945833333
232,iota Ori,-5.89936111111,iotori,mi200060.fits,-5:53:57.7,5:35:35.0,0,iota Ori,83.8958333333
233,iota Ori,-5.89933333333,iotori,mi200061.fits,-5:53:57.6,5:35:34.9,0,iota Ori,83.8954166667
234,iota Ori,-5.88819444444,iotori,mi210064.fits,-5:53:17.5,5:35:34.4,0,iota Ori,83.8933333333
235,IU Aur,34.7827777778,iuaur,sh160025.fits,+34:46:58.00,05:27:52.400,0,IU Aur,81.9683333333
