#object, dir
SAO49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
SAO 49725,sao49725
HD180398,hd180398
V818 Cas,v818cas
nu Cyg,nucyg
nu Cyg,nucyg
HD189689,hd189689
HD 31293,hd31293
HD 31293,hd31293
HD 31293,hd31293
HD 31293,hd31293
HD 37330,hd37330
CI Cam,cicam
CI Cam,cicam
CI Cam,cicam
CI Cam,cicam
SAO 53150,sao53150
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
 ,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sqr,upssgr
ups Sgr,upssgr
yps Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sqr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sqr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
Ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sqr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sqr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sqr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
yps Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
upsilon Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
ups Sqr,upssgr
ups Sgr,upssgr
ups Sgr,upssgr
upsilon Sgr,upssgr
HD 44996,hd44996
V4024 Sgr,v4024sgr
U Cyg,ucyg
U Cyg,ucyg
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
TW Dra,twdra
FFAqr,ffaqr
FFAqr,ffaqr
FFAqr,ffaqr
FFAqr,ffaqr
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
59 Cyg,59cyg
HD174886,hd174886
V2491 Cyg,v2491cyg
V2491 Cyg,v2491cyg
HIP096517,hd185397
HIP96517,hd185397
HIP96517,hd185397
HD206267,hd206267
HIP55605,hip55605
HIP55605,hip55605
HIP55605,hip55605
HD 26398,hd26398
HD 26398,hd26398
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EWLac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
EW Lac,ewlac
HIP 117700,hip117700
SAO 4972,hd22648
HD 42406,hd42406
HIP59643,hd106313
HIP59643,hd106313
HIP59643,hd106313
HIP59643,hd106313
HD206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
HD206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
HD 206773,hd206773
lam Ori,lamori
lam Ori,lamori
V2388 Oph,v2388oph
HIP73224,hip73224
HIP73224,hip73224
HIP73224,hip73224
U Oph,uoph
U Oph,uoph
U Oph,uoph
U Oph,uoph
U Oph,uoph
U Oph,uoph
U Oph,uoph
U Oph,uoph
HD 43285,hd43285
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
HR7409,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7VUL,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
7VUL,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7 Vul,7vul
7Vul,7vul
7Vul,7vul
7 Vul,7vul
7Vul,7vul
7 Vul,7vul
V771 Cas,v771cas
HD205551,hd205551
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V 448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
V448Cyg,v448cyg
V448 Cyg,v448cyg
V448 Cyg,v448cyg
HIP27878,hip27878
HIP27878,hip27878
HIP27878,hip27878
HIP27878,hip27878
HIP27878,hip27878
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
chi Oph,chioph
EUVEJ0702+129,tyc757-1608-1
EUVE0702+129,tyc757-1608-1
EUVEJ0702+129,tyc757-1608-1
HR 894,hr894
HR 894,hr894
HR 894,hr894
HR 894,hr894
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
V2368 Oph,v2368oph
 V2368 Oph,v2368oph
V2368 Oph,v2368oph
NGC6910 WEBDA 41,ngc6910w41
HIP118010,hd224233
HIP118010,hd224233
HIP118010,hd224233
HD214167,8lacA
V416 Aur,v416aur
HIP102488,epscyg
HIP102488,epscyg
MZ Lac,mzlac
tau Cet,taucet
tau Cet,taucet
HD 171219,hd171219
HD 171219,hd171219
HD 171406,hd171406
HD 171406,hd171406
HD 173371,hd173371
11 Cyg,11cyg
11 Cyg,11cyg
KY And,kyand
HR7318,hr7318
HR7318,hr7318
HR7318,hr7318
HR7318,hr7318
HR7318,hr7318
HR7318,hr7318
HR7318,hr7318
beta CMi,betcmi
beta CMi,betcmi
bet CMi,betcmi
bet CMi,betcmi
bet CMi,betcmi
beta CMi,betcmi
beta CMi,betcmi
beta CMi,betcmi
bet_CMi,betcmi
beta CMi,betcmi
beta CMi,betcmi
bet CMi,betcmi
bet CMi,betcmi
beta CMi,betcmi
DRVul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
DR Vul,drvul
HIP106335,hzaqr
HIP106335,hzaqr
HR1417,dlcam
HR1417,dlcam
HR1417,dlcam
HR1417,dlcam
T Her,ther
T Her,ther
T Her,ther
T Her,ther
T Her,ther
HD 62623,1pup
V447 Sct,v447sct
V447Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
V447 Sct,v447sct
10 Cas,10cas
10 Cas,10cas
BD+284211,bd284211
BD+284211,bd284211
GSC4288-0186,v731cep
GSC4288-0186,v731cep
GSC4288-0186,v731cep
GSC 4288-186,v731cep
GSC4288-0186,v731cep
GSC 4288-0186,v731cep
gsc4288-0186,v731cep
V731 Cep,v731cep
19 Cep,19cep
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
Z And,zand
HR 1608,hr1608
63 Eri,hr1608
HR1608,hr1608
HR 1608,hr1608
HR1608,hr1608
HR 1608,hr1608
HR1608,hr1608
HR1608,hr1608
HR 1608,hr1608
HR1608,hr1608
HR1608,hr1608
